name,address,website,business group,matched business type,Skill IDs,Skill Names,Skill Source
DTLA Bikes,,http://dtlabikes.com/,Food And Beverage Establishments,Bike Shop,,,none
Silver City Jewelry,,https://www.silvercity.com/,Food And Beverage Establishments,Jeweler,,,none
A&A Jewelry Supply,,https://www.aajewelry.com/,Food And Beverage Establishments,Jeweler,,,none
Drs. Balfour & Shapiro,,https://www.balfourshapiro.com/,Food And Beverage Establishments,Healthcare and Medical,,,none
Gaby Jewelry Supplies,"309, 6th Street",http://www.facebook.com/pages/Gaby-Jewelry-Supplies/269963357874,Food And Beverage Establishments,Jeweler,,,none
Hartfield's Jewelers,,http://www.hartfield.bigcartel.com/,Food And Beverage Establishments,Jeweler,,,none
Luxury Perfumes Wholesale,,,Food And Beverage Establishments,Luxury goods,,,none
Shoe Hut,,https://www.shoehutusa.com/location_4.html,Food And Beverage Establishments,� Shoe Repair,,,none
Sultan Chicken Restaurant,"311, 6th Street",http://sultanchicken.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Trimana,,,Food And Beverage Establishments,Quick Service and Fast Food and Counter Service,,,none
Broadway Gold Center,,http://www.broadwaygold.com/,Food And Beverage Establishments,Jeweler,,,none
Kiss Pizza & Deli,,https://www.kisspizzadeli.com/,Food And Beverage Establishments,Pizza,,,none
L.A Noosha,,http://www.facebook.com/pages/LA-Noosha/180739188631876,Food And Beverage Establishments,Restaurant non quick service,,,none
Rainbow,,,Food And Beverage Establishments,Flower Shop,,,none
Optometric Eye Institute,,http://www.optometriceyeinstitute.net/,Food And Beverage Establishments,Healthcare and Medical,,,none
Ace Jewelry & Loan,,https://www.kingspawn.com/,Food And Beverage Establishments,Jeweler,,,none
Audio Video Plaza Inc,,http://profile.reliableplaces.com/CA/Los+Angeles/Electronic+Parts+Supplier/Audio+Video+Plaza+Inc,Food And Beverage Establishments,Electronics and computer Repair,,,none
basic flowers,,https://basicflowersla.com/,Food And Beverage Establishments,Flower Shop,,,none
Starbucks,,,Food And Beverage Establishments,Coffee,,,none
The Park's Finest BBQ,"1267, W Temple St",https://www.theparksfinest.com/,Food And Beverage Establishments,Catering,,,none
The Rooftop Bar,"550, South Flower Street",https://www.standardhotels.com/downtown-la/food-drink/the-rooftop,Food And Beverage Establishments,Bar,,,none
George's Greek Grill,"445, Figueroa Street, Los Angeles",,Food And Beverage Establishments,Quick Service and Fast Food and Counter Service,,,none
Kinokuniya,"123, Astronaut Ellison S Onizuka Street, Los Angeles, CA",https://usa.kinokuniya.com/stores-kinokuniya-los-angeles,Food And Beverage Establishments,Bookstore,,,none
The Last Bookstore,"453, South Spring Street, Los Angeles, CA",https://www.lastbookstorela.com/,Food And Beverage Establishments,Bookstore,,,none
Polanco Modern Mexican Steakhouse,"840, South Spring Street, Los Angeles",https://polancorestaurantgroup.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
